U,U,I,A,S,U,X,W,V,U,F,C,P,U,U,U,U,S,A,I,U,U,U,U,U,U,S,A,I,I,A,S,U,U,U,V,W,X,U,U,U,U,U,U,V,W,X,X,W,V,F,C,P,U,U,U,U,U,U,F,C,P,U,U,U,F,C,P
V,V,J,B,T,V,U,X,W,V,G,D,M,V,J,B,T,V,V,V,V,V,V,J,B,T,V,V,V,J,B,T,V,V,V,W,X,U,V,V,V,V,V,V,W,X,U,U,X,W,G,D,M,V,V,V,V,V,V,G,D,M,V,V,V,G,D,M
W,W,K,C,Q,W,V,U,X,W,H,A,N,W,K,C,Q,W,W,W,W,W,W,K,C,Q,W,W,W,K,C,Q,W,W,W,X,U,V,W,W,W,W,W,W,X,U,V,V,U,X,W,W,W,N,A,H,W,W,W,W,W,W,N,A,H,H,A,N
X,X,L,D,R,X,W,V,U,X,E,B,O,X,X,X,X,R,D,L,X,X,X,X,X,X,R,D,L,L,D,R,X,X,X,U,V,W,X,X,X,X,X,X,U,V,W,W,V,U,X,X,X,O,B,E,X,X,X,X,X,X,O,B,E,E,B,O
a,a,s,u,i,a,b,c,d,a,n,w,h,a,a,a,a,a,a,a,s,u,i,s,u,i,i,u,s,a,a,a,b,c,d,a,a,a,a,a,a,b,c,d,a,a,a,b,c,d,a,a,a,h,w,n,a,a,a,a,a,a,h,w,n,n,w,h
b,b,t,v,j,b,c,d,a,b,o,x,e,b,t,v,j,b,b,b,b,b,b,t,v,j,b,b,b,t,v,j,c,d,a,b,b,b,b,b,b,c,d,a,b,b,b,c,d,a,b,b,b,b,b,b,o,x,e,o,x,e,e,x,o,b,b,b
c,c,q,w,k,c,d,a,b,c,p,u,f,c,c,c,c,c,c,c,q,w,k,q,w,k,k,w,q,c,c,c,d,a,b,c,c,c,c,c,c,d,a,b,c,c,c,d,a,b,p,u,f,c,c,c,c,c,c,p,u,f,c,c,c,p,u,f
d,d,r,x,l,d,a,b,c,d,m,v,g,d,d,d,d,l,x,r,d,d,d,d,d,d,l,x,r,r,x,l,a,b,c,d,d,d,d,d,d,a,b,c,d,d,d,a,b,c,d,d,d,d,d,d,m,v,g,m,v,g,g,v,m,d,d,d
e,e,h,g,f,e,q,m,i,e,b,o,x,e,e,e,e,f,g,h,e,e,e,e,e,e,f,g,h,h,g,f,q,m,i,e,e,e,e,e,e,q,m,i,e,e,e,q,m,i,e,e,e,e,e,e,b,o,x,b,o,x,x,o,b,e,e,e
f,f,e,h,g,f,r,n,j,f,c,p,u,f,f,f,f,g,h,e,f,f,f,f,f,f,g,h,e,e,h,g,f,f,f,f,f,f,r,n,j,r,n,j,j,n,r,f,f,f,c,p,u,f,f,f,f,f,f,c,p,u,f,f,f,c,p,u
g,g,f,e,h,g,s,o,k,g,d,m,v,g,g,g,g,h,e,f,g,g,g,g,g,g,h,e,f,f,e,h,g,g,g,k,o,s,g,g,g,g,g,g,k,o,s,s,o,k,g,g,g,g,g,g,d,m,v,d,m,v,v,m,d,g,g,g
h,h,g,f,e,h,t,p,l,h,a,n,w,h,h,h,h,e,f,g,h,h,h,h,h,h,e,f,g,g,f,e,h,h,h,h,h,h,t,p,l,t,p,l,l,p,t,h,h,h,h,h,h,w,n,a,h,h,h,h,h,h,w,n,a,a,n,w
i,i,a,s,u,i,e,q,m,i,j,k,l,i,i,i,i,i,i,i,a,s,u,a,s,u,u,s,a,i,i,i,e,q,m,i,i,i,i,i,i,e,q,m,i,i,i,e,q,m,j,k,l,i,i,i,i,i,i,j,k,l,i,i,i,j,k,l
j,j,b,t,v,j,f,r,n,j,k,l,i,j,b,t,v,j,j,j,j,j,j,b,t,v,j,j,j,b,t,v,j,j,j,j,j,j,f,r,n,f,r,n,n,r,f,j,j,j,k,l,i,j,j,j,j,j,j,k,l,i,j,j,j,k,l,i
k,k,c,q,w,k,g,s,o,k,l,i,j,k,k,k,k,k,k,k,c,q,w,c,q,w,w,q,c,k,k,k,k,k,k,o,s,g,k,k,k,k,k,k,o,s,g,g,s,o,l,i,j,k,k,k,k,k,k,l,i,j,k,k,k,l,i,j
l,l,d,r,x,l,h,t,p,l,i,j,k,l,l,l,l,x,r,d,l,l,l,l,l,l,x,r,d,d,r,x,l,l,l,l,l,l,h,t,p,h,t,p,p,t,h,l,l,l,i,j,k,l,l,l,l,l,l,i,j,k,l,l,l,i,j,k
m,m,n,o,p,m,i,e,q,m,v,g,d,m,n,o,p,m,m,m,m,m,m,n,o,p,m,m,m,n,o,p,i,e,q,m,m,m,m,m,m,i,e,q,m,m,m,i,e,q,m,m,m,m,m,m,v,g,d,v,g,d,d,g,v,m,m,m
n,n,o,p,m,n,j,f,r,n,w,h,a,n,o,p,m,n,n,n,n,n,n,o,p,m,n,n,n,o,p,m,n,n,n,n,n,n,j,f,r,j,f,r,r,f,j,n,n,n,n,n,n,a,h,w,n,n,n,n,n,n,a,h,w,w,h,a
o,o,p,m,n,o,k,g,s,o,x,e,b,o,p,m,n,o,o,o,o,o,o,p,m,n,o,o,o,p,m,n,o,o,o,s,g,k,o,o,o,o,o,o,s,g,k,k,g,s,o,o,o,o,o,o,x,e,b,x,e,b,b,e,x,o,o,o
p,p,m,n,o,p,l,h,t,p,u,f,c,p,m,n,o,p,p,p,p,p,p,m,n,o,p,p,p,m,n,o,p,p,p,p,p,p,l,h,t,l,h,t,t,h,l,p,p,p,u,f,c,p,p,p,p,p,p,u,f,c,p,p,p,u,f,c
q,q,w,k,c,q,m,i,e,q,t,s,r,q,q,q,q,q,q,q,w,k,c,w,k,c,c,k,w,q,q,q,m,i,e,q,q,q,q,q,q,m,i,e,q,q,q,m,i,e,q,q,q,r,s,t,q,q,q,q,q,q,r,s,t,t,s,r
r,r,x,l,d,r,n,j,f,r,q,t,s,r,r,r,r,d,l,x,r,r,r,r,r,r,d,l,x,x,l,d,r,r,r,r,r,r,n,j,f,n,j,f,f,j,n,r,r,r,r,r,r,s,t,q,r,r,r,r,r,r,s,t,q,q,t,s
s,s,u,i,a,s,o,k,g,s,r,q,t,s,s,s,s,s,s,s,u,i,a,u,i,a,a,i,u,s,s,s,s,s,s,g,k,o,s,s,s,s,s,s,g,k,o,o,k,g,s,s,s,t,q,r,s,s,s,s,s,s,t,q,r,r,q,t
t,t,v,j,b,t,p,l,h,t,s,r,q,t,v,j,b,t,t,t,t,t,t,v,j,b,t,t,t,v,j,b,t,t,t,t,t,t,p,l,h,p,l,h,h,l,p,t,t,t,t,t,t,q,r,s,t,t,t,t,t,t,q,r,s,s,r,q
u,u,i,a,s,u,x,w,v,u,f,c,p,u,u,u,u,u,u,u,i,a,s,i,a,s,s,a,i,u,u,u,u,u,u,v,w,x,u,u,u,u,u,u,v,w,x,x,w,v,f,c,p,u,u,u,u,u,u,f,c,p,u,u,u,f,c,p
v,v,j,b,t,v,u,x,w,v,g,d,m,v,j,b,t,v,v,v,v,v,v,j,b,t,v,v,v,j,b,t,v,v,v,w,x,u,v,v,v,v,v,v,w,x,u,u,x,w,v,v,v,v,v,v,g,d,m,g,d,m,m,d,g,v,v,v
w,w,k,c,q,w,v,u,x,w,h,a,n,w,w,w,w,w,w,w,k,c,q,k,c,q,q,c,k,w,w,w,w,w,w,x,u,v,w,w,w,w,w,w,x,u,v,v,u,x,w,w,w,n,a,h,w,w,w,w,w,w,n,a,h,h,a,n
x,x,l,d,r,x,w,v,u,x,e,b,o,x,x,x,x,r,d,l,x,x,x,x,x,x,r,d,l,l,d,r,x,x,x,u,v,w,x,x,x,x,x,x,u,v,w,w,v,u,x,x,x,x,x,x,e,b,o,e,b,o,o,b,e,x,x,x
